params_types_unique	return_types_unique	image_types	images_types	unsupported_types	first_image_param_names	subsequent_image_param_names	signatures	signatures_filtered
	tuple[_typing.Sequence[cv2.typing.Rect], _typing.Sequence[int]]					R12	addText(img: cv2.typing.MatLike, text: str, org: cv2.typing.Point, nameFont: str, pointSize: int, color: cv2.typing.Scalar, weight: int, style: int, spacing: int) -> None	addText(img: cv2.typing.MatLike, text: str, org: cv2.typing.Point, nameFont: str, pointSize: int, color: cv2.typing.Scalar, weight: int, style: int, spacing: int) -> None
	tuple[float, float, float, cv2.typing.Point2d, float]					lines	addWeighted(src1: cv2.typing.MatLike, alpha: float, src2: cv2.typing.MatLike, beta: float, gamma: float, dst: cv2.typing.MatLike | None, dtype: int) -> cv2.typing.MatLike	addWeighted(src1: cv2.typing.MatLike, alpha: float, src2: cv2.typing.MatLike, beta: float, gamma: float, dst: cv2.typing.MatLike | None, dtype: int) -> cv2.typing.MatLike
	tuple[cv2.typing.MatLike, cv2.typing.MatLike, cv2.typing.MatLike, cv2.typing.MatLike]					triangle	addWeighted(src1: UMat, alpha: float, src2: UMat, beta: float, gamma: float, dst: UMat | None, dtype: int) -> UMat	addWeighted(src1: UMat, alpha: float, src2: UMat, beta: float, gamma: float, dst: UMat | None, dtype: int) -> UMat
	GOpaqueDesc					fgdModel	applyColorMap(src: cv2.typing.MatLike, colormap: int, dst: cv2.typing.MatLike | None) -> cv2.typing.MatLike	applyColorMap(src: cv2.typing.MatLike, colormap: int, dst: cv2.typing.MatLike | None) -> cv2.typing.MatLike
	str					rotMatrixX	applyColorMap(src: UMat, colormap: int, dst: UMat | None) -> UMat	applyColorMap(src: UMat, colormap: int, dst: UMat | None) -> UMat
	tuple[int, _typing.Sequence[UMat], _typing.Sequence[UMat]]					transVect	applyColorMap(src: cv2.typing.MatLike, userColor: cv2.typing.MatLike, dst: cv2.typing.MatLike | None) -> cv2.typing.MatLike	applyColorMap(src: cv2.typing.MatLike, userColor: cv2.typing.MatLike, dst: cv2.typing.MatLike | None) -> cv2.typing.MatLike
	tuple[float, cv2.typing.MatLike]					corners	applyColorMap(src: UMat, userColor: UMat, dst: UMat | None) -> UMat	applyColorMap(src: UMat, userColor: UMat, dst: UMat | None) -> UMat
	tuple[float, UMat, UMat, UMat, UMat, UMat, UMat, UMat, UMat, UMat]					img2	approxPolyDP(curve: cv2.typing.MatLike, epsilon: float, closed: bool, approxCurve: cv2.typing.MatLike | None) -> cv2.typing.MatLike	approxPolyDP(curve: cv2.typing.MatLike, epsilon: float, closed: bool, approxCurve: cv2.typing.MatLike | None) -> cv2.typing.MatLike
	tuple[cv2.typing.Vec3d, cv2.typing.MatLike, cv2.typing.MatLike, cv2.typing.MatLike, cv2.typing.MatLike, cv2.typing.MatLike]					P3	approxPolyDP(curve: UMat, epsilon: float, closed: bool, approxCurve: UMat | None) -> UMat	approxPolyDP(curve: UMat, epsilon: float, closed: bool, approxCurve: UMat | None) -> UMat
	tuple[int, UMat, UMat, UMat]					tilted	approxPolyN(curve: cv2.typing.MatLike, nsides: int, approxCurve: cv2.typing.MatLike | None, epsilon_percentage: float, ensure_convex: bool) -> cv2.typing.MatLike	approxPolyN(curve: cv2.typing.MatLike, nsides: int, approxCurve: cv2.typing.MatLike | None, epsilon_percentage: float, ensure_convex: bool) -> cv2.typing.MatLike
	UMat					out	approxPolyN(curve: UMat, nsides: int, approxCurve: UMat | None, epsilon_percentage: float, ensure_convex: bool) -> UMat	approxPolyN(curve: UMat, nsides: int, approxCurve: UMat | None, epsilon_percentage: float, ensure_convex: bool) -> UMat
	tuple[UMat, UMat, UMat, UMat, UMat, UMat, UMat, UMat, UMat, UMat]					to	arcLength(curve: cv2.typing.MatLike, closed: bool) -> float	arcLength(curve: cv2.typing.MatLike, closed: bool) -> float
	cv2.typing.MatLike					hist	arcLength(curve: UMat, closed: bool) -> float	arcLength(curve: UMat, closed: bool) -> float
	MergeRobertson					rotMatrixZ	arrowedLine(img: cv2.typing.MatLike, pt1: cv2.typing.Point, pt2: cv2.typing.Point, color: cv2.typing.Scalar, thickness: int, line_type: int, shift: int, tipLength: float) -> cv2.typing.MatLike	arrowedLine(img: cv2.typing.MatLike, pt1: cv2.typing.Point, pt2: cv2.typing.Point, color: cv2.typing.Scalar, thickness: int, line_type: int, shift: int, tipLength: float) -> cv2.typing.MatLike
	tuple[cv2.typing.MatLike, cv2.typing.MatLike, cv2.typing.MatLike, cv2.typing.MatLike, cv2.typing.MatLike, cv2.typing.MatLike, cv2.typing.MatLike]					convexhull	arrowedLine(img: UMat, pt1: cv2.typing.Point, pt2: cv2.typing.Point, color: cv2.typing.Scalar, thickness: int, line_type: int, shift: int, tipLength: float) -> UMat	arrowedLine(img: UMat, pt1: cv2.typing.Point, pt2: cv2.typing.Point, color: cv2.typing.Scalar, thickness: int, line_type: int, shift: int, tipLength: float) -> UMat
	tuple[bool, UMat, UMat, UMat]					sharpness	batchDistance(src1: cv2.typing.MatLike, src2: cv2.typing.MatLike, dtype: int, dist: cv2.typing.MatLike | None, nidx: cv2.typing.MatLike | None, normType: int, K: int, mask: cv2.typing.MatLike | None, update: int, crosscheck: bool) -> tuple[cv2.typing.MatLike, cv2.typing.MatLike]	batchDistance(src1: cv2.typing.MatLike, src2: cv2.typing.MatLike, dtype: int, dist: cv2.typing.MatLike | None, nidx: cv2.typing.MatLike | None, normType: int, K: int, mask: cv2.typing.MatLike | None, update: int, crosscheck: bool) -> tuple[cv2.typing.MatLike, cv2.typing.MatLike]
	tuple[float, cv2.typing.MatLike, cv2.typing.MatLike, _typing.Sequence[cv2.typing.MatLike], _typing.Sequence[cv2.typing.MatLike], cv2.typing.MatLike]					stddev	batchDistance(src1: UMat, src2: UMat, dtype: int, dist: UMat | None, nidx: UMat | None, normType: int, K: int, mask: UMat | None, update: int, crosscheck: bool) -> tuple[UMat, UMat]	batchDistance(src1: UMat, src2: UMat, dtype: int, dist: UMat | None, nidx: UMat | None, normType: int, K: int, mask: UMat | None, update: int, crosscheck: bool) -> tuple[UMat, UMat]
	float					covar	bilateralFilter(src: cv2.typing.MatLike, d: int, sigmaColor: float, sigmaSpace: float, dst: cv2.typing.MatLike | None, borderType: int) -> cv2.typing.MatLike	bilateralFilter(src: cv2.typing.MatLike, d: int, sigmaColor: float, sigmaSpace: float, dst: cv2.typing.MatLike | None, borderType: int) -> cv2.typing.MatLike
	tuple[float, float, UMat]					mean	bilateralFilter(src: UMat, d: int, sigmaColor: float, sigmaSpace: float, dst: UMat | None, borderType: int) -> UMat	bilateralFilter(src: UMat, d: int, sigmaColor: float, sigmaSpace: float, dst: UMat | None, borderType: int) -> UMat
	tuple[cv2.typing.Vec3d, UMat, UMat, UMat, UMat, UMat]					kernel	bitwise_and(src1: cv2.typing.MatLike, src2: cv2.typing.MatLike, dst: cv2.typing.MatLike | None, mask: cv2.typing.MatLike | None) -> cv2.typing.MatLike	bitwise_and(src1: cv2.typing.MatLike, src2: cv2.typing.MatLike, dst: cv2.typing.MatLike | None, mask: cv2.typing.MatLike | None) -> cv2.typing.MatLike
	tuple[float, cv2.typing.MatLike, cv2.typing.MatLike]					tvec1	bitwise_and(src1: UMat, src2: UMat, dst: UMat | None, mask: UMat | None) -> UMat	bitwise_and(src1: UMat, src2: UMat, dst: UMat | None, mask: UMat | None) -> UMat
	cv2.typing.Moments					eigenvectors	bitwise_not(src: cv2.typing.MatLike, dst: cv2.typing.MatLike | None, mask: cv2.typing.MatLike | None) -> cv2.typing.MatLike	bitwise_not(src: cv2.typing.MatLike, dst: cv2.typing.MatLike | None, mask: cv2.typing.MatLike | None) -> cv2.typing.MatLike
	CLAHE					stdDeviationsIntrinsics	bitwise_not(src: UMat, dst: UMat | None, mask: UMat | None) -> UMat	bitwise_not(src: UMat, dst: UMat | None, mask: UMat | None) -> UMat
	tuple[cv2.typing.Point2f, float]					_3dImage	bitwise_or(src1: cv2.typing.MatLike, src2: cv2.typing.MatLike, dst: cv2.typing.MatLike | None, mask: cv2.typing.MatLike | None) -> cv2.typing.MatLike	bitwise_or(src1: cv2.typing.MatLike, src2: cv2.typing.MatLike, dst: cv2.typing.MatLike | None, mask: cv2.typing.MatLike | None) -> cv2.typing.MatLike
	tuple[float, float, cv2.typing.Point, cv2.typing.Point]					newPoints2	bitwise_or(src1: UMat, src2: UMat, dst: UMat | None, mask: UMat | None) -> UMat	bitwise_or(src1: UMat, src2: UMat, dst: UMat | None, mask: UMat | None) -> UMat
	tuple[cv2.typing.MatLike, cv2.typing.MatLike, cv2.typing.MatLike]					P1	bitwise_xor(src1: cv2.typing.MatLike, src2: cv2.typing.MatLike, dst: cv2.typing.MatLike | None, mask: cv2.typing.MatLike | None) -> cv2.typing.MatLike	bitwise_xor(src1: cv2.typing.MatLike, src2: cv2.typing.MatLike, dst: cv2.typing.MatLike | None, mask: cv2.typing.MatLike | None) -> cv2.typing.MatLike
	bool					dx	bitwise_xor(src1: UMat, src2: UMat, dst: UMat | None, mask: UMat | None) -> UMat	bitwise_xor(src1: UMat, src2: UMat, dst: UMat | None, mask: UMat | None) -> UMat
	tuple[int, UMat, UMat, UMat, UMat]					dr3dr1	blendLinear(src1: cv2.typing.MatLike, src2: cv2.typing.MatLike, weights1: cv2.typing.MatLike, weights2: cv2.typing.MatLike, dst: cv2.typing.MatLike | None) -> cv2.typing.MatLike	blendLinear(src1: cv2.typing.MatLike, src2: cv2.typing.MatLike, weights1: cv2.typing.MatLike, weights2: cv2.typing.MatLike, dst: cv2.typing.MatLike | None) -> cv2.typing.MatLike
	tuple[float, cv2.typing.MatLike, cv2.typing.MatLike, cv2.typing.MatLike, cv2.typing.MatLike, cv2.typing.MatLike, cv2.typing.MatLike, cv2.typing.MatLike, cv2.typing.MatLike, _typing.Sequence[cv2.typing.MatLike], _typing.Sequence[cv2.typing.MatLike], cv2.typing.MatLike]					rotMatrixY	blendLinear(src1: UMat, src2: UMat, weights1: UMat, weights2: UMat, dst: UMat | None) -> UMat	blendLinear(src1: UMat, src2: UMat, weights1: UMat, weights2: UMat, dst: UMat | None) -> UMat
	TonemapMantiuk					outImage	blur(src: cv2.typing.MatLike, ksize: cv2.typing.Size, dst: cv2.typing.MatLike | None, anchor: cv2.typing.Point, borderType: int) -> cv2.typing.MatLike	blur(src: cv2.typing.MatLike, ksize: cv2.typing.Size, dst: cv2.typing.MatLike | None, anchor: cv2.typing.Point, borderType: int) -> cv2.typing.MatLike
	HausdorffDistanceExtractor					T13	blur(src: UMat, ksize: cv2.typing.Size, dst: UMat | None, anchor: cv2.typing.Point, borderType: int) -> UMat	blur(src: UMat, ksize: cv2.typing.Size, dst: UMat | None, anchor: cv2.typing.Point, borderType: int) -> UMat
	tuple[bool, cv2.typing.MatLike, cv2.typing.MatLike, cv2.typing.MatLike, cv2.typing.MatLike]					jacobian	borderInterpolate(p: int, len: int, borderType: int) -> int	borderInterpolate(p: int, len: int, borderType: int) -> int
	BackgroundSubtractorKNN					m	boundingRect(array: cv2.typing.MatLike) -> cv2.typing.Rect	boundingRect(array: cv2.typing.MatLike) -> cv2.typing.Rect
	tuple[UMat, UMat, UMat, UMat]					H1	boundingRect(array: UMat) -> cv2.typing.Rect	boundingRect(array: UMat) -> cv2.typing.Rect
	AlgorithmHint					result	boxFilter(src: cv2.typing.MatLike, ddepth: int, ksize: cv2.typing.Size, dst: cv2.typing.MatLike | None, anchor: cv2.typing.Point, normalize: bool, borderType: int) -> cv2.typing.MatLike	boxFilter(src: cv2.typing.MatLike, ddepth: int, ksize: cv2.typing.Size, dst: cv2.typing.MatLike | None, anchor: cv2.typing.Point, normalize: bool, borderType: int) -> cv2.typing.MatLike
	ShapeContextDistanceExtractor					bestLabels	boxFilter(src: UMat, ddepth: int, ksize: cv2.typing.Size, dst: UMat | None, anchor: cv2.typing.Point, normalize: bool, borderType: int) -> UMat	boxFilter(src: UMat, ddepth: int, ksize: cv2.typing.Size, dst: UMat | None, anchor: cv2.typing.Point, normalize: bool, borderType: int) -> UMat
	tuple[_typing.Sequence[cv2.typing.MatLike], cv2.typing.MatLike]					weights2	boxPoints(box: cv2.typing.RotatedRect, points: cv2.typing.MatLike | None) -> cv2.typing.MatLike	boxPoints(box: cv2.typing.RotatedRect, points: cv2.typing.MatLike | None) -> cv2.typing.MatLike
	tuple[cv2.typing.Size, int]					newObjPoints	boxPoints(box: cv2.typing.RotatedRect, points: UMat | None) -> UMat	boxPoints(box: cv2.typing.RotatedRect, points: UMat | None) -> UMat
	tuple[int, _typing.Sequence[cv2.typing.MatLike], _typing.Sequence[cv2.typing.MatLike], cv2.typing.MatLike]					centers	broadcast(src: cv2.typing.MatLike, shape: cv2.typing.MatLike, dst: cv2.typing.MatLike | None) -> cv2.typing.MatLike	broadcast(src: cv2.typing.MatLike, shape: cv2.typing.MatLike, dst: cv2.typing.MatLike | None) -> cv2.typing.MatLike
	tuple[bool, cv2.typing.Point]					icovar	broadcast(src: UMat, shape: UMat, dst: UMat | None) -> UMat	broadcast(src: UMat, shape: UMat, dst: UMat | None) -> UMat
	tuple[int, _typing.Sequence[cv2.typing.MatLike], _typing.Sequence[cv2.typing.MatLike]]					shape	buildOpticalFlowPyramid(img: cv2.typing.MatLike, winSize: cv2.typing.Size, maxLevel: int, pyramid: _typing.Sequence[cv2.typing.MatLike] | None, withDerivatives: bool, pyrBorder: int, derivBorder: int, tryReuseInputImage: bool) -> tuple[int, _typing.Sequence[cv2.typing.MatLike]]	calcCovarMatrix(samples: cv2.typing.MatLike, mean: cv2.typing.MatLike, flags: int, covar: cv2.typing.MatLike | None, ctype: int) -> tuple[cv2.typing.MatLike, cv2.typing.MatLike]
	tuple[float, UMat, UMat, UMat, UMat, UMat, UMat, UMat, UMat]					distCoeffs2	buildOpticalFlowPyramid(img: UMat, winSize: cv2.typing.Size, maxLevel: int, pyramid: _typing.Sequence[UMat] | None, withDerivatives: bool, pyrBorder: int, derivBorder: int, tryReuseInputImage: bool) -> tuple[int, _typing.Sequence[UMat]]	calcCovarMatrix(samples: UMat, mean: UMat, flags: int, covar: UMat | None, ctype: int) -> tuple[UMat, UMat]
	_typing.Sequence[cv2.typing.MatLike]					next	calcBackProject(images: _typing.Sequence[cv2.typing.MatLike], channels: _typing.Sequence[int], hist: cv2.typing.MatLike, ranges: _typing.Sequence[float], scale: float, dst: cv2.typing.MatLike | None) -> cv2.typing.MatLike	calcOpticalFlowFarneback(prev: cv2.typing.MatLike, next: cv2.typing.MatLike, flow: cv2.typing.MatLike, pyr_scale: float, levels: int, winsize: int, iterations: int, poly_n: int, poly_sigma: float, flags: int) -> cv2.typing.MatLike
	tuple[UMat, UMat, UMat]					stats	calcBackProject(images: _typing.Sequence[UMat], channels: _typing.Sequence[int], hist: UMat, ranges: _typing.Sequence[float], scale: float, dst: UMat | None) -> UMat	calcOpticalFlowFarneback(prev: UMat, next: UMat, flow: UMat, pyr_scale: float, levels: int, winsize: int, iterations: int, poly_n: int, poly_sigma: float, flags: int) -> UMat
	tuple[cv2.typing.MatLike, cv2.typing.MatLike, cv2.typing.MatLike, cv2.typing.MatLike, cv2.typing.MatLike, cv2.typing.Rect, cv2.typing.Rect]					cornersQuality	calcCovarMatrix(samples: cv2.typing.MatLike, mean: cv2.typing.MatLike, flags: int, covar: cv2.typing.MatLike | None, ctype: int) -> tuple[cv2.typing.MatLike, cv2.typing.MatLike]	calcOpticalFlowPyrLK(prevImg: cv2.typing.MatLike, nextImg: cv2.typing.MatLike, prevPts: cv2.typing.MatLike, nextPts: cv2.typing.MatLike, status: cv2.typing.MatLike | None, err: cv2.typing.MatLike | None, winSize: cv2.typing.Size, maxLevel: int, criteria: cv2.typing.TermCriteria, flags: int, minEigThreshold: float) -> tuple[cv2.typing.MatLike, cv2.typing.MatLike, cv2.typing.MatLike]
	tuple[float, float, cv2.typing.MatLike]					cameraMatrix2	calcCovarMatrix(samples: UMat, mean: UMat, flags: int, covar: UMat | None, ctype: int) -> tuple[UMat, UMat]	calcOpticalFlowPyrLK(prevImg: UMat, nextImg: UMat, prevPts: UMat, nextPts: UMat, status: UMat | None, err: UMat | None, winSize: cv2.typing.Size, maxLevel: int, criteria: cv2.typing.TermCriteria, flags: int, minEigThreshold: float) -> tuple[UMat, UMat, UMat]
	tuple[bool, cv2.typing.Point, cv2.typing.Point]					map1	calcHist(images: _typing.Sequence[cv2.typing.MatLike], channels: _typing.Sequence[int], mask: cv2.typing.MatLike | None, histSize: _typing.Sequence[int], ranges: _typing.Sequence[float], hist: cv2.typing.MatLike | None, accumulate: bool) -> cv2.typing.MatLike	calibrationMatrixValues(cameraMatrix: cv2.typing.MatLike, imageSize: cv2.typing.Size, apertureWidth: float, apertureHeight: float) -> tuple[float, float, float, cv2.typing.Point2d, float]
	HistogramCostExtractor					T	calcHist(images: _typing.Sequence[UMat], channels: _typing.Sequence[int], mask: UMat | None, histSize: _typing.Sequence[int], ranges: _typing.Sequence[float], hist: UMat | None, accumulate: bool) -> UMat	calibrationMatrixValues(cameraMatrix: UMat, imageSize: cv2.typing.Size, apertureWidth: float, apertureHeight: float) -> tuple[float, float, float, cv2.typing.Point2d, float]
	tuple[UMat, UMat, UMat, UMat, UMat, cv2.typing.Rect, cv2.typing.Rect]					patch	calcOpticalFlowFarneback(prev: cv2.typing.MatLike, next: cv2.typing.MatLike, flow: cv2.typing.MatLike, pyr_scale: float, levels: int, winsize: int, iterations: int, poly_n: int, poly_sigma: float, flags: int) -> cv2.typing.MatLike	cartToPolar(x: cv2.typing.MatLike, y: cv2.typing.MatLike, magnitude: cv2.typing.MatLike | None, angle: cv2.typing.MatLike | None, angleInDegrees: bool) -> tuple[cv2.typing.MatLike, cv2.typing.MatLike]
	tuple[cv2.typing.MatLike, float]					markers	calcOpticalFlowFarneback(prev: UMat, next: UMat, flow: UMat, pyr_scale: float, levels: int, winsize: int, iterations: int, poly_n: int, poly_sigma: float, flags: int) -> UMat	cartToPolar(x: UMat, y: UMat, magnitude: UMat | None, angle: UMat | None, angleInDegrees: bool) -> tuple[UMat, UMat]
	tuple[float, UMat, UMat, UMat, UMat, UMat, UMat, UMat, UMat, _typing.Sequence[UMat], _typing.Sequence[UMat], UMat]					afterPoints	calcOpticalFlowPyrLK(prevImg: cv2.typing.MatLike, nextImg: cv2.typing.MatLike, prevPts: cv2.typing.MatLike, nextPts: cv2.typing.MatLike, status: cv2.typing.MatLike | None, err: cv2.typing.MatLike | None, winSize: cv2.typing.Size, maxLevel: int, criteria: cv2.typing.TermCriteria, flags: int, minEigThreshold: float) -> tuple[cv2.typing.MatLike, cv2.typing.MatLike, cv2.typing.MatLike]	checkChessboard(img: cv2.typing.MatLike, size: cv2.typing.Size) -> bool
	tuple[cv2.typing.MatLike, cv2.typing.MatLike, cv2.typing.MatLike, cv2.typing.MatLike, cv2.typing.MatLike, cv2.typing.MatLike, cv2.typing.MatLike, cv2.typing.MatLike, cv2.typing.MatLike, cv2.typing.MatLike]					stdDeviationsExtrinsics	calcOpticalFlowPyrLK(prevImg: UMat, nextImg: UMat, prevPts: UMat, nextPts: UMat, status: UMat | None, err: UMat | None, winSize: cv2.typing.Size, maxLevel: int, criteria: cv2.typing.TermCriteria, flags: int, minEigThreshold: float) -> tuple[UMat, UMat, UMat]	checkChessboard(img: UMat, size: cv2.typing.Size) -> bool
	cv2.typing.Scalar					buf	calibrateCamera(objectPoints: _typing.Sequence[cv2.typing.MatLike], imagePoints: _typing.Sequence[cv2.typing.MatLike], imageSize: cv2.typing.Size, cameraMatrix: cv2.typing.MatLike, distCoeffs: cv2.typing.MatLike, rvecs: _typing.Sequence[cv2.typing.MatLike] | None, tvecs: _typing.Sequence[cv2.typing.MatLike] | None, flags: int, criteria: cv2.typing.TermCriteria) -> tuple[float, cv2.typing.MatLike, cv2.typing.MatLike, _typing.Sequence[cv2.typing.MatLike], _typing.Sequence[cv2.typing.MatLike]]	checkHardwareSupport(feature: int) -> bool
	tuple[UMat, UMat]					z	calibrateCamera(objectPoints: _typing.Sequence[UMat], imagePoints: _typing.Sequence[UMat], imageSize: cv2.typing.Size, cameraMatrix: UMat, distCoeffs: UMat, rvecs: _typing.Sequence[UMat] | None, tvecs: _typing.Sequence[UMat] | None, flags: int, criteria: cv2.typing.TermCriteria) -> tuple[float, UMat, UMat, _typing.Sequence[UMat], _typing.Sequence[UMat]]	checkRange(a: cv2.typing.MatLike, quiet: bool, minVal: float, maxVal: float) -> tuple[bool, cv2.typing.Point]
						edges	calibrateCameraExtended(objectPoints: _typing.Sequence[cv2.typing.MatLike], imagePoints: _typing.Sequence[cv2.typing.MatLike], imageSize: cv2.typing.Size, cameraMatrix: cv2.typing.MatLike, distCoeffs: cv2.typing.MatLike, rvecs: _typing.Sequence[cv2.typing.MatLike] | None, tvecs: _typing.Sequence[cv2.typing.MatLike] | None, stdDeviationsIntrinsics: cv2.typing.MatLike | None, stdDeviationsExtrinsics: cv2.typing.MatLike | None, perViewErrors: cv2.typing.MatLike | None, flags: int, criteria: cv2.typing.TermCriteria) -> tuple[float, cv2.typing.MatLike, cv2.typing.MatLike, _typing.Sequence[cv2.typing.MatLike], _typing.Sequence[cv2.typing.MatLike], cv2.typing.MatLike, cv2.typing.MatLike, cv2.typing.MatLike]	checkRange(a: UMat, quiet: bool, minVal: float, maxVal: float) -> tuple[bool, cv2.typing.Point]
